State,County,County And State,Average Cost Of Rent,Average Cost of Insurance With Employer,Medcaid For Adults,Medcaid for Children,Average Transportation Expense,Average Misc Expense,Average Misc Expense 2020,Medicaid For Children 2014,Medicaid For Adults 2014 ,AverageCostOfRent 2019,Average Insurance With Employer 2019,Total Cost
CA,Alameda County,"Alameda County, California",29319.2702,1592.686972,3078.144,"2,880",10062,8446.49451,8067.33,"2,500","2,672",27685.80755,1503.953704,49420
CA,Alpine County,"Alpine County, California",11840.687,1592.686972,3078.144,"2,880",13364,5661.83049,5407.67,"2,500","2,672",11181.00755,1503.953704,32459
CA,Amador County,"Amador County, California",13746.887,1592.686972,3078.144,"2,880",11493,6121.73571,5846.93,"2,500","2,672",12981.00755,1503.953704,32954
CA,Butte County,"Butte County, California",10413.15499,1592.686972,3078.144,"2,880",10814,6005.3826,5735.8,"2,500","2,672",9833.007549,1503.953704,28825
CA,Calaveras County,"Calaveras County, California",11955.059,1592.686972,3078.144,"2,880",12015,5989.6776,5720.8,"2,500","2,672",11289.00755,1503.953704,31552
CA,Colusa County,"Colusa County, California",11304.4094,1592.686972,3078.144,"2,880",12108,5502.53991,5255.53,"2,500","2,672",10674.60755,1503.953704,30508
CA,Contra Costa County,"Contra Costa County, California",29319.2702,1592.686972,3078.144,"2,880",11092,8717.5314,8326.2,"2,500","2,672",27685.80755,1503.953704,50721
CA,Del Norte County,"Del Norte County, California",11520.4454,1592.686972,3078.144,"2,880",9444,5667.90309,5413.47,"2,500","2,672",10878.60755,1503.953704,28225
CA,El Dorado County,"El Dorado County, California",16217.3222,1592.686972,3078.144,"2,880",11765,6942.79311,6631.13,"2,500","2,672",15313.80755,1503.953704,36518
CA,Fresno County,"Fresno County, California",11932.1846,1592.686972,3078.144,"2,880",10227,5473.22391,5227.53,"2,500","2,672",11267.40755,1503.953704,29225
CA,Glenn County,"Glenn County, California",9014.427794,1592.686972,3078.144,"2,880",10719,5230.46649,4995.67,"2,500","2,672",8512.207549,1503.953704,26557
CA,Humboldt County,"Humboldt County, California",10075.12219,1592.686972,3078.144,"2,880",10643,5424.85251,5181.33,"2,500","2,672",9513.807549,1503.953704,27736
CA,Imperial County,"Imperial County, California",11713.607,1592.686972,3078.144,"2,880",10691,5502.1944,5255.2,"2,500","2,672",11061.00755,1503.953704,29499
CA,Inyo County,"Inyo County, California",10691.8838,1592.686972,3078.144,"2,880",10547,5461.3614,5216.2,"2,500","2,672",10096.20755,1503.953704,28293
CA,Kern County,"Kern County, California",11563.6526,1592.686972,3078.144,"2,880",10861,5385.5586,5143.8,"2,500","2,672",10919.40755,1503.953704,29403
CA,Kings County,"Kings County, California",17743.553,1592.686972,3078.144,"2,880",7508,5558.523,5309,"2,500","2,672",16755.00755,1503.953704,32403
CA,Lake County,"Lake County, California",9894.033194,1592.686972,3078.144,"2,880",9767,5173.44687,4941.21,"2,500","2,672",9342.807549,1503.953704,26427
CA,Lassen County,"Lassen County, California",10127.64859,1592.686972,3078.144,"2,880",10435,5554.5444,5305.2,"2,500","2,672",9563.407549,1503.953704,27710
CA,Los Angeles County,"Los Angeles County, California",23061.851,1592.686972,3078.144,"2,880",9401,7525.49049,7187.67,"2,500","2,672",21777.00755,1503.953704,41581
CA,Madera County,"Madera County, California",12544.7102,1592.686972,3078.144,"2,880",11200,5665.24371,5410.93,"2,500","2,672",11845.80755,1503.953704,31003
CA,Marin County,"Marin County, California",41966.2718,1592.686972,3078.144,"2,880",11015,10638.70311,10161.13,"2,500","2,672",39628.20755,1503.953704,65213
CA,Mariposa County,"Mariposa County, California",12183.803,1592.686972,3078.144,"2,880",11455,5670.62529,5416.07,"2,500","2,672",11505.00755,1503.953704,30902
CA,Mendocino County,"Mendocino County, California",13467.311,1592.686972,3078.144,"2,880",10378,6317.31531,6033.73,"2,500","2,672",12717.00755,1503.953704,31755
CA,Merced County,"Merced County, California",10425.01579,1592.686972,3078.144,"2,880",10764,5601.2406,5349.8,"2,500","2,672",9844.207549,1503.953704,28383
CA,Modoc County,"Modoc County, California",7959.663794,1592.686972,3078.144,"2,880",10609,5153.47011,4922.13,"2,500","2,672",7516.207549,1503.953704,25315
CA,Mono County,"Mono County, California",15569.2142,1592.686972,3078.144,"2,880",11979,6951.73449,6639.67,"2,500","2,672",14701.80755,1503.953704,36093
CA,Monterey County,"Monterey County, California",20288.9654,1592.686972,3078.144,"2,880",11441,7395.5892,7063.6,"2,500","2,672",19158.60755,1503.953704,40718
CA,Napa County,"Napa County, California",22657.7366,1592.686972,3078.144,"2,880",11470,7640.45109,7297.47,"2,500","2,672",21395.40755,1503.953704,43361
